Implicated	Position.Culture	Position.Al.H	Position.Al.A	Protest	Media.Passive	Info.Active	Phytosanitary.products	Hunger	Animal.feed	Future.Progress	Danger	Threat	Finan.risk	Useless.practice	Grandparents	Sex	Age	Profession	Relation	Political.Party
Certain extent	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Left
A little	Favourable_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Liberal
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Right
Certain extent	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
A lot 	Somewhat_Against_PC	Totally_opposed_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Left
Certain extent	Favourable_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	Yes_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
Certain extent	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
Certain extent	Somewhat_Against_PC	Totally_opposed_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
Certain extent	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Liberal
Certain extent	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Extreme left
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Left
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	Yes_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	Yes_Useless.practice	Yes_Grandparents	H	< 25	Student	Yes_Relation	Liberal
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Left
A little	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Right
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Student	Yes_Relation	Extreme left
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	Yes_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Student	Yes_Relation	Liberal
Not at all	Favourable_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Student	Yes_Relation	Right
Certain extent	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	Yes_Animal.feed	Yes_Future.Progress	No_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Student	Yes_Relation	Left
A little	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Right
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	No_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	Yes_Relation	Right
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	Yes_Relation	Liberal
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	Yes_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	Yes_Useless.practice	Yes_Grandparents	H	[26; 40]	Student	No_Relation	Extreme left
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	Yes_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Unemployed	No_Relation	Extreme left
Not at all	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	Yes_Useless.practice	Yes_Grandparents	F	> 60	Retired	No_Relation	Liberal
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	F	[41; 60]	Retired	No_Relation	Left
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	[41; 60]	Civil Servant	No_Relation	Greens
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	Yes_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	Yes_Useless.practice	Yes_Grandparents	F	[26; 40]	Technician	No_Relation	Extreme left
A little	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[26; 40]	Civil Servant	No_Relation	Liberal
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	[26; 40]	Other	No_Relation	Right
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	[41; 60]	Technician	No_Relation	Left
Certain extent	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[26; 40]	Other	No_Relation	Left
Not at all	Somewhat_Against_PC	Totally_opposed_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[41; 60]	Unemployed	No_Relation	Right
Certain extent	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	> 60	Retired	No_Relation	Liberal
Certain extent	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[26; 40]	Other	No_Relation	Left
Certain extent	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Other	No_Relation	Extreme left
A little	Somewhat_Against_PC	Totally_opposed_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Other	No_Relation	Left
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	Yes_Useless.practice	No_Grandparents	H	[41; 60]	Senior Management 	No_Relation	Left
Certain extent	Favourable_PC	Favourable_P.Al.H	V_Favourable_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	[41; 60]	Senior Management 	No_Relation	Liberal
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	F	> 60	Retired	No_Relation	Left
Certain extent	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	Yes_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Senior Management 	Yes_Relation	Liberal
Not at all	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Senior Management 	Yes_Relation	Left
Not at all	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	[41; 60]	Senior Management 	Yes_Relation	Liberal
Not at all	Favourable_PC	Favourable_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	No_Relation	Liberal
A lot 	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	> 60	Retired	No_Relation	Liberal
A little	Favourable_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	No_Relation	Right
A little	Favourable_PC	Somewhat_Against_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	Yes_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	No_Relation	Right
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Civil Servant	No_Relation	Liberal
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	Yes_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[41; 60]	Senior Management 	No_Relation	Greens
A little	Somewhat_Against_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	< 25	Student	No_Relation	Left
A little	Somewhat_Against_PC	Totally_opposed_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	No_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	Yes_Grandparents	F	< 25	Student	No_Relation	Left
Certain extent	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Senior Management 	Yes_Relation	Left
A little	Somewhat_Against_PC	Somewhat_Against_P.Al.H	Somewhat_Against_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	No_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	[26; 40]	Technician	Yes_Relation	Left
Certain extent	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	No_Protest	No_Media.Passive	No_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	F	< 25	Senior Management 	No_Relation	Left
A little	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Senior Management 	Yes_Relation	Right
A lot 	Totally_opposed_PC	Totally_opposed_P.Al.H	Totally_opposed_P.Al.A	Yes_Protest	No_Media.Passive	Yes_Info.Active	No_Phytosanitary.products	No_Hunger	No_Animal.feed	No_Future.Progress	Yes_Danger	Yes_Threat	Yes_Finan.risk	No_Useless.practice	Yes_Grandparents	H	< 25	Technician	Yes_Relation	Left
Not at all	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	yes_Media.Passive	No_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	Yes_Danger	No_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Senior Management 	Yes_Relation	Right
Certain extent	Favourable_PC	Favourable_P.Al.H	Favourable_P.Al.A	No_Protest	No_Media.Passive	Yes_Info.Active	Yes_Phytosanitary.products	Yes_Hunger	No_Animal.feed	Yes_Future.Progress	No_Danger	Yes_Threat	No_Finan.risk	No_Useless.practice	No_Grandparents	H	[26; 40]	Senior Management 	Yes_Relation	Right
